date,o/c,volume,low,high,name
2013-02-08,-0.0035571997723392143,1.0958511124826182,0.9985771200910644,1.0073335230506546,HON
2013-02-11,0.00468616870207325,0.7758082693450549,0.9928997443907981,1.000568020448736,HON
2013-02-12,-0.004995004995005117,0.6828969473583596,0.9984301412872841,1.0070643642072215,HON
2013-02-13,0.0034081226924168543,0.8630547556177416,0.9924737290542459,1.0051121840386255,HON
2013-02-14,-0.0012857142857143344,0.9631683684358736,0.9968571428571429,1.0053942857142857,HON
2013-02-15,0.003836317135549816,1.0219260084494248,0.991332764990054,1.000852514919011,HON
2013-02-19,-0.00996725046276524,1.062697127047919,0.9971522141534956,1.0102520290474155,HON
2013-02-20,0.006496257590735884,1.4057730719544874,0.9933625194181613,1.008755825448383,HON
2013-02-21,-0.0022975301550832365,1.3842657348990197,0.995728029867892,1.004880815623205,HON
2013-02-22,0.0015714285714285633,1.2074961396987711,0.9934285714285715,1.0034285714285713,HON
2013-02-25,0.013449706681928712,1.7715360826748885,0.9865502933180713,1.0034339676634711,HON
2013-02-26,-0.0007239032865210854,1.2645974164867464,0.996670044882004,1.0069494715506009,HON
2013-02-27,-0.018089725036179453,0.9054518423916954,0.9988422575976845,1.0204052098408105,HON
2013-02-28,0.004119903395368749,1.231162861358665,0.9958800966046313,1.0068305156982527,HON
2013-03-01,-0.004877349017357674,0.9954552599134049,0.9931143307990247,1.0078898292927845,HON
2013-03-04,-0.0015806868802988852,1.1929779941123857,0.9900847822963069,1.0036643195861474,HON
2013-03-05,-0.009714285714285812,1.2541508715698046,0.9995714285714286,1.0124028571428572,HON
2013-03-06,-0.006354137249364627,1.1766117626766128,0.9997175939000283,1.0083309799491669,HON
2013-03-07,-0.007538740751082036,1.4087384264043086,0.9974172832612034,1.0101912606449812,HON
2013-03-08,-0.01417366175863494,1.6460349207441167,1.0,1.0152745286913445,HON
2013-03-11,-0.006815703380588877,1.1333656185686372,0.9944111232279171,1.0078380588876772,HON
2013-03-12,0.003790442669554638,0.9981557432122116,0.9891701638012723,1.0004061188574522,HON
2013-03-13,-0.002983860029838585,1.1336772513352156,0.9974230299742304,1.0039332700393326,HON
2013-03-14,0.004987867349690004,1.5338534709951397,0.9897546508492855,1.0013480722566728,HON
2013-03-15,0.001495174663585693,1.997855621772646,0.9967378007339949,1.0039418241130897,HON
2013-03-18,-0.016089108910891114,1.423005061301269,0.9976622662266227,1.0213146314631463,HON
2013-03-19,0.0005400297016334825,1.4218824485161994,0.9913595247738628,1.004050222762252,HON
2013-03-20,-0.004437273093989488,1.2144906753524891,1.0,1.0067231410514992,HON
2013-03-21,0.0,1.3657498051934733,0.9979890065692452,1.0054967153773964,HON
2013-03-22,-0.00467664350614637,1.2044132131869612,0.9978621058257616,1.005211117049706,HON
2013-03-25,0.007819748177601105,1.4509862100199982,0.9856858846918489,1.0040424121935054,HON
2013-03-26,-0.004926108374384297,1.1467892083392912,0.9974703767807216,1.0069231793369724,HON
2013-03-27,-0.0018659202985472554,0.9404382151334141,0.9940023990403838,1.0022657603625216,HON
2013-03-28,-0.002661343978709097,1.1664885409301402,0.998003992015968,1.0050565535595475,HON
2013-04-01,0.011569148936170273,1.3201104684032527,0.9853723404255318,1.001063829787234,HON
2013-04-02,0.0069583835139838115,1.1904087773486973,0.9900976849993308,1.001338150675766,HON
2013-04-03,0.015440386680988261,1.6251598675333792,0.9825456498388829,1.0012083780880772,HON
2013-04-04,-0.003264861923547747,1.4193426247680083,0.9976873894708203,1.0036729696639912,HON
2013-04-05,-0.003989544641628921,1.4470318474010035,0.9964231668730226,1.0064658137295364,HON
2013-04-08,-0.008231721944632885,1.1051459856105328,0.9976764748216231,1.0090542087334389,HON
2013-04-09,0.001357957631721813,0.9775839724795587,0.9937533948940794,1.0010863661053775,HON
2013-04-10,-0.011967904256765884,1.466596573341337,0.9968720250237998,1.012375900992792,HON
2013-04-11,-0.003492745835572342,1.0614358994738569,0.9967759269210102,1.0056421278882322,HON
2013-04-12,0.001747781661736965,0.7160519348276778,0.9920677601505783,1.0020153267007261,HON
2013-04-15,0.022607283064843667,1.1277108032008207,0.9771219710301882,1.0006768647624205,HON
2013-04-16,-0.006187267977450885,0.8264774859122361,0.9965626289014162,1.0068747421971675,HON
2013-04-17,0.011685455045366984,1.323575170104987,0.9818531756942536,1.0,HON
2013-04-18,0.005288796102992282,1.7826212576558154,0.9870563674321504,1.0005567153792625,HON
2013-04-19,-0.0062398263700489415,2.192430704133412,0.9856212696690179,1.00976668475312,HON
2013-04-22,-0.004038228563736669,1.2583236777357898,0.9965675057208236,1.0080764571274734,HON
2013-04-23,0.0031999999999999316,0.9725353880563724,0.9833293333333334,1.0,HON
2013-04-24,0.0018674136321195221,1.2563837387129737,0.9954648526077097,1.0026677337601708,HON
2013-04-25,0.005338315761377361,1.7472768245434942,0.9933271052982784,1.001538769518217,HON
2013-04-26,0.008585994097129065,1.1125410011004002,0.9884625704319828,1.001878186208747,HON
2013-04-29,0.0029721696838692093,1.0026465283640302,0.9922993785463389,1.0012158875979464,HON
2013-04-30,0.0058131675003378755,0.9747866258342273,0.9868865756387725,1.0001351899418685,HON
2013-05-01,0.009153005464480897,1.0591993582037507,0.9900273224043715,1.0025956284153006,HON
2013-05-02,-0.015652890292461905,1.045641161782581,0.999725387889606,1.0178497871756145,HON
2013-05-03,-0.007092749173137204,1.0741393603648293,1.0,1.0132498818767477,HON
2013-05-06,-0.01062699256110517,1.205213170824641,0.9996028161530287,1.0118225292242295,HON
