date,o/c,volume,low,high,name
2013-02-08,-0.0010847667751432385,0.2548702851823415,0.9981403998140399,1.006352084301875,DISCK
2013-02-11,0.006488490653483728,0.2163615943218882,0.9868685308203305,1.0038621968175498,DISCK
2013-02-12,0.006497524752475274,0.1702456087037867,0.9899443069306931,1.0,DISCK
2013-02-13,0.002945736434108492,0.3715754447812473,0.9953503875968993,1.0051162790697674,DISCK
2013-02-14,0.00031357792411419136,0.29013342985227575,0.9642521166509878,1.006271558482283,DISCK
2013-02-15,0.003951944356623459,0.27212979005843857,0.9838760670249763,1.0118558330698706,DISCK
2013-02-19,-0.002864417568427748,0.1639676253836977,0.9971355824315722,1.006683640992998,DISCK
2013-02-20,0.017061611374407558,0.1525913280262594,0.981042654028436,1.0033175355450237,DISCK
2013-02-21,0.004684219027620726,0.13429306204433422,0.9843320949765789,1.0022613471167825,DISCK
2013-02-22,-0.01974749109744252,0.11832909722455304,0.9951440595662026,1.0205568145030754,DISCK
2013-02-25,0.0003174099349309002,0.3521510779144165,0.9938105062688463,1.0068243136010158,DISCK
2013-02-26,-0.0025384737426621703,0.2762551389568647,0.9960336347770903,1.0095192765349834,DISCK
2013-02-27,-0.029365079365079275,0.3818926017510727,1.0,1.034920634920635,DISCK
2013-02-28,0.0009293680297398121,0.46982396226550077,0.9975216852540273,1.0075898389095415,DISCK
2013-03-01,-0.037472561931640024,0.3103013493716528,1.0,1.039667607400439,DISCK
2013-03-04,-0.007557436517533253,0.3009606511319136,0.9951632406287788,1.0087666263603385,DISCK
2013-03-05,-0.014602890776337417,0.3106670119133905,0.9961257636715839,1.0153479362241098,DISCK
2013-03-06,0.004790419161676545,0.5574671015089732,0.9866766467065868,1.0255988023952096,DISCK
2013-03-07,-0.03715863303984472,2.362758208963049,0.9997015370840172,1.0402178779286673,DISCK
2013-03-08,-0.00344086021505369,0.609181566965941,0.992831541218638,1.0157706093189964,DISCK
2013-03-11,-0.0014285714285713475,0.21253378293751934,0.9931428571428571,1.0045714285714284,DISCK
2013-03-12,0.0011428571428571184,0.14704408752445194,0.9917142857142858,1.004857142857143,DISCK
2013-03-13,-0.0038676407391490617,0.22894958554772799,0.9974215728405672,1.0057284056725397,DISCK
2013-03-14,-0.008139368841924791,0.2751005070774605,0.9995716121662145,1.0118520634013994,DISCK
2013-03-15,0.01673284174702202,0.2650739004393662,0.9829835507657402,1.0,DISCK
2013-03-18,-0.014160583941605822,0.344843649731601,0.9910948905109489,1.015912408759124,DISCK
2013-03-19,-0.0017248814144028254,0.18119510567413302,0.9897944516314504,1.0051746442432086,DISCK
2013-03-20,-0.007142857142857143,0.36483048477569074,0.9997142857142858,1.0097142857142858,DISCK
2013-03-21,0.0044241472812899686,0.31980857545683306,0.9908662765805625,1.00834879406308,DISCK
2013-03-22,0.0002859593937660283,0.34065890978340213,0.9937088933371462,1.0010008578781815,DISCK
2013-03-25,0.00953600910902365,0.4883691086896183,0.9832052376885851,1.0077853686307998,DISCK
2013-03-26,0.0034285714285713555,0.5130425962790055,0.992,1.0,DISCK
2013-03-27,0.00043159257660769866,0.3562158712326823,0.9879154078549849,1.002014098690836,DISCK
2013-03-28,0.0025817555938036805,0.3867609210368513,0.995697074010327,1.0048766494549628,DISCK
2013-04-01,-0.0024355300859599097,0.8962988631140745,0.9977793696275071,1.0041547277936964,DISCK
2013-04-02,-0.004302925989672937,0.5375582900008593,1.0,1.0103270223752152,DISCK
2013-04-03,0.0008584919158678248,0.24235507710573295,0.9908427528974102,1.0022893117756475,DISCK
2013-04-04,-0.0027326333956565183,0.20322278022266646,0.9929526822954121,1.0057529124119087,DISCK
2013-04-05,-0.020262390670553947,0.4689924875686832,0.9916909620991254,1.020991253644315,DISCK
2013-04-08,-0.011614568396902815,0.3817464531874164,1.0,1.0133352451964441,DISCK
2013-04-09,-0.0019846895378508728,0.34120332773965173,0.9944712220017011,1.00680464984406,DISCK
2013-04-10,-0.01662475551830117,0.3438031418301913,0.9900810282201733,1.017043867001956,DISCK
2013-04-11,-0.0034326513799258548,0.27784938105762563,1.0,1.0137306055197035,DISCK
2013-04-12,-0.01184246763976865,0.22759640123722094,1.0,1.0143211236573946,DISCK
2013-04-15,0.024825126868742317,0.2977628506872903,0.9732546975723494,1.0052119050884654,DISCK
2013-04-16,0.007245367145046622,0.3508869801785685,0.9880172774139613,1.0004180019506759,DISCK
2013-04-17,-0.000563063063062951,0.4939367284732105,0.9864864864864864,1.0038006756756757,DISCK
2013-04-18,0.019058295964125553,0.32008980954546257,0.9735145739910314,1.0,DISCK
2013-04-19,-0.010818505338078365,0.314492494236984,0.9928825622775801,1.0115302491103204,DISCK
2013-04-22,0.0004229522064006927,0.2587999929756341,0.9932327646975891,1.0009868884816016,DISCK
2013-04-23,0.0026722925457102354,0.3263084018157789,0.9835443037974685,1.0023909985935302,DISCK
2013-04-24,0.001128349788434591,0.22622574897089842,0.9964739069111425,1.0039492242595205,DISCK
2013-04-25,0.0009809417040357788,0.30668140666148835,0.9886491031390134,1.0025238228699551,DISCK
2013-04-26,0.0021147610320034634,0.22331034714529224,0.9977442548991963,1.0064852671648103,DISCK
2013-04-29,0.00323488045007018,0.21408435514874147,0.9929676511954993,1.0,DISCK
2013-04-30,0.0011272368606453191,0.44591091301928154,0.9977455262787094,1.0101451317458081,DISCK
2013-05-01,0.008988764044943828,0.1904024651844806,0.9903089887640449,1.0,DISCK
2013-05-02,-0.018857223876364643,0.24577937871076388,0.9997164327236637,1.0224727066496526,DISCK
