date,o/c,volume,low,high,name
2013-02-08,-0.005491762356465273,0.5741936331803285,0.9947578632051922,1.0054917623564652,EXR
2013-02-11,-0.0014869888475835234,0.49600144188688244,1.0,1.0096654275092938,EXR
2013-02-12,0.003211462450592773,0.5437788391925217,0.9960474308300397,1.003211462450593,EXR
2013-02-13,0.010619906149666576,0.8099454822251434,0.9846875771795504,1.0041985675475424,EXR
2013-02-14,0.012487512487512488,1.3579962004535735,0.9872627372627373,1.0,EXR
2013-02-15,0.01174668028600597,2.4289416105757007,0.9691036772216548,1.0042134831460676,EXR
2013-02-19,0.0018148820326678839,1.5030720383112317,0.9867772880477055,1.0064817215452424,EXR
2013-02-20,0.0023382696804365656,1.0116015069628108,0.9968823070927513,1.0090906729020523,EXR
2013-02-21,0.011758557616932397,1.4542863448262324,0.9814476090932845,1.001045205121505,EXR
2013-02-22,-0.008465608465608473,0.8924502269226673,0.9894179894179894,1.0126984126984129,EXR
2013-02-25,0.031510416666666693,1.1689449483360155,0.9671875000000001,1.00234375,EXR
2013-02-26,-0.0029585798816567895,2.1369167731683674,0.9817105970952125,1.0034965034965035,EXR
2013-02-27,-0.006706008583690987,0.5826935057496465,0.996244635193133,1.0080472103004292,EXR
2013-02-28,0.003194888178913859,1.3828910545295336,0.9960063897763577,1.005591054313099,EXR
2013-03-01,-0.0034768654720514188,1.1292296389528171,0.9866274404921102,1.0061513773736293,EXR
2013-03-04,-0.023974427277570553,0.9209115808602277,0.9997336174746937,1.0258391049547149,EXR
2013-03-05,-0.02360570687418946,1.0662592947577558,0.9981841763942931,1.0236057068741895,EXR
2013-03-06,0.01060873958070224,0.8741852948583374,0.9871179590805758,1.000227330133872,EXR
2013-03-07,0.003828483920367498,0.7886363948167585,0.9936191934660541,1.0081674323634509,EXR
2013-03-08,-0.0020444671607461867,0.9427783352637787,0.990799897776642,1.0025555839509326,EXR
2013-03-11,0.00766087844739523,0.6125238732895439,0.9841675178753831,1.0,EXR
2013-03-12,-0.004647560030983726,0.6734101913049727,0.9984508133230056,1.0087787245029693,EXR
2013-03-13,0.017272492910543998,1.0608710113534054,0.9819541118845064,1.0162412993039445,EXR
2013-03-14,-0.0015764582238569408,1.1434453306280612,0.9952706253284288,1.0091960063058327,EXR
2013-03-15,0.0005242463958059245,1.3256001365846677,0.9916120576671036,1.001310615989515,EXR
2013-03-18,-0.010789473684210437,0.6735750295338703,0.996842105263158,1.0107894736842105,EXR
2013-03-19,0.006758513127111984,0.661411252694967,0.9870158565115675,1.0025994281258124,EXR
2013-03-20,-0.006774361646690933,0.4795015633254874,0.9963522668056279,1.007295466388744,EXR
2013-03-21,0.002854918245522954,0.7206470476652014,0.997145081754477,1.0129769011160135,EXR
2013-03-22,-0.017174082747853335,0.6152105223449511,0.9968774395003904,1.0171740827478533,EXR
2013-03-25,0.0005107252298262518,1.0247061461601614,0.9915730337078652,1.0074055158324824,EXR
2013-03-26,-0.0063710499490316,0.7558635578532299,0.998980632008155,1.0073904179408766,EXR
2013-03-27,-0.003311258278145761,0.5172516584992325,0.9936321956189506,1.0033112582781458,EXR
2013-03-28,0.004815002534211802,1.0942357674116112,0.9931576279776989,1.0038013177901672,EXR
2013-04-01,-0.005096839959225171,0.5978372152460213,0.9905708460754331,1.0050968399592253,EXR
2013-04-02,-0.0010108668182966679,0.5314780539555738,0.9962092494313874,1.007328784432651,EXR
2013-04-03,0.011601513240857526,0.7081461017217351,0.9848675914249685,1.0022698612862548,EXR
2013-04-04,-0.005346232179226091,0.39164492807934365,0.9961812627291242,1.0058553971486761,EXR
2013-04-05,-0.014807250446770443,0.3773393246428827,0.9959152412560632,1.0150625478682664,EXR
2013-04-08,-0.007280944012051197,0.5546014322599409,0.9932211900577456,1.0102937484308312,EXR
2013-04-09,-0.007206759443339939,0.8894114234691609,0.9942842942345923,1.010934393638171,EXR
2013-04-10,-0.013566847557967545,1.234710049775566,0.9980513073507646,1.0150468672915638,EXR
2013-04-11,-0.009980525803310703,0.9842704723091189,0.9985394352482961,1.0148490749756574,EXR
2013-04-12,-0.005081054923784197,0.6123815130009507,0.998548270021776,1.0058069199128963,EXR
2013-04-15,0.008969696969696907,1.1486730573159531,0.9893333333333334,1.006060606060606,EXR
2013-04-16,-0.01657727937591418,0.7727295057281505,0.9912237932715747,1.017064846416382,EXR
2013-04-17,0.0036275695284159267,0.9308960678677329,0.989117291414752,1.0053204353083434,EXR
2013-04-18,0.002661504960077412,0.5323857345926197,0.9915315751270264,1.0012097749818534,EXR
2013-04-19,-0.016207063376874567,0.6533844872501469,0.9929850024189645,1.0171746492501208,EXR
2013-04-22,0.014010923771075667,0.5316279068909352,0.9843267632391357,1.0,EXR
2013-04-23,-0.0012019230769230085,0.5839726075907666,0.9932692307692308,1.0057692307692307,EXR
2013-04-24,-0.002154656451998954,0.5913732018413982,0.9932966243715585,1.0043093129039982,EXR
2013-04-25,0.007382710169087932,0.7881247540803105,0.9883305548940223,1.0,EXR
2013-04-26,-0.0045454545454546615,0.6814637162025359,0.9985645933014355,1.010287081339713,EXR
2013-04-29,-0.004442366144493751,0.7220256946705259,0.9894786064998831,1.0084171148000936,EXR
2013-04-30,-0.01703617269544917,1.8597573469488806,1.0,1.017036172695449,EXR
2013-05-01,0.0,1.01315569597813,0.9963201471941123,1.0110395584176635,EXR
2013-05-02,-0.008018327605956504,0.7076665723285788,0.9961053837342497,1.0109965635738833,EXR
2013-05-03,0.006537421100090152,0.5186431500418737,0.9916591523895402,1.002028854824166,EXR
